Retailer,Brand,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method,
Sports Direct,ADIDAS,1185732,8/18/2020,Northeast,Rhode Island,Providence,ZX 2K Boost Pure Shoes,51,111,5661,1698,30%,Outlet,
Amazon,ADIDAS,1185732,8/19/2020,Northeast,Vermont,Burlington,Court Tourino Shoes,42,111,4662,2331,50%,Outlet,
Amazon,ADIDAS,1185732,8/20/2020,Northeast,Vermont,Burlington,Geodiver Primeblue Shoes,39,111,4329,1775,41%,Outlet,
West Gear,ADIDAS,1128299,8/21/2020,West,Nevada,Las Vegas,Ozelia Shoes,54,109,5886,3826,65%,Online,
West Gear,ADIDAS,1128299,8/22/2020,Northeast,Maine,Portland,ZX 8000 Shoes,41,109,4469,1207,27%,Online,
Foot Locker,ADIDAS,1128299,8/23/2020,West,Alaska,Anchorage,Court Tourino Shoes,33,109,3597,1799,50%,Online,
Foot Locker,ADIDAS,1128299,4/24/2020,West,Alaska,Anchorage,ZX 2K Shoes,43,109,4687,1687,36%,Online,
Walmart,ADIDAS,1128299,4/24/2020,Southeast,Florida,Orlando,Stan Smith Primeblue Shoes,72,109,7848,4002,51%,Online,
Sports Direct,ADIDAS,1185732,4/24/2020,Midwest,Michigan,Detroit,Continental 80 Stripes Shoes,28,109,3052,1373,45%,Online,
Sports Direct,ADIDAS,1185732,4/24/2020,Midwest,Michigan,Detroit,ZX 2K Boost Shoes,32,109,3488,2302,66%,Online,
Foot Locker,ADIDAS,1197831,4/24/2020,West,Idaho,Boise,Choigo Shoes,32,109,3488,1151,33%,Online,
Foot Locker,ADIDAS,1185732,4/24/2020,South,Mississippi,Jackson,Continental 80 Vegan Shoes,23,109,2507,1254,50%,Online,
West Gear,ADIDAS,1197831,4/24/2020,South,Arkansas,Little Rock,Special 21 Shoes,51,109,5559,2057,37%,Online,
West Gear,ADIDAS,1197831,4/24/2020,South,Arkansas,Little Rock,Swift Run X Shoes,25,109,2725,1499,55%,Online,
Kohl's,ADIDAS,1185732,4/24/2020,Northeast,Delaware,Wilmington,ZX 2K Boost Pure Shoes,50,109,5450,2671,49%,Online,
Amazon,ADIDAS,1185732,4/24/2020,Northeast,New Hampshire,Manchester,Amplifier Tee,54,109,5886,3885,66%,Online,
Sports Direct,ADIDAS,1197831,4/24/2020,South,Tennessee,Knoxville,X9000L3 Shoes,28,109,3052,1068,35%,Outlet,
Foot Locker,ADIDAS,1128299,4/24/2020,Southeast,Virginia,Richmond,Terrex Primeknit Rain.RDY Jacket,37,109,4033,1815,45%,Outlet,
Foot Locker,ADIDAS,1128299,4/24/2020,Southeast,Virginia,Richmond,Hurricanes Premier Alternate Jersey,40,109,4360,1482,34%,Outlet,
West Gear,ADIDAS,1185732,4/24/2020,West,Utah,Salt Lake City,Terrex Hyperhiker Hiking Shoes,19,109,2071,953,46%,Outlet,
West Gear,ADIDAS,1185732,9/7/2020,West,Utah,Salt Lake City,Allover Print Camo Graphic Tee,23,109,2507,1003,40%,Outlet,
West Gear,ADIDAS,1128299,9/8/2020,West,Utah,Salt Lake City,Primeblue Always Om Yoga Shorts,24,109,2616,1674,64%,Outlet,
West Gear,ADIDAS,1128299,9/9/2020,West,Oregon,Portland,Terrex Trailmaker Primegreen Hiking Shoes,36,109,3924,1138,29%,Outlet,
West Gear,ADIDAS,1128299,9/10/2020,West,Oregon,Portland,adidas Sportswear Future Icons 3-Stripes Skinny Pants,37,109,4033,1855,46%,Outlet,
West Gear,ADIDAS,1128299,9/11/2020,South,Louisiana,New Orleans,Lite Racer Adapt 4.0 Shoes,29,109,3161,948,30%,Outlet,
Kohl's,ADIDAS,1128299,9/12/2020,West,Arizona,Phoenix,Marimekko Techfit Primegreen AEROREADY Training Pocket Tights,42,109,4578,2152,47%,Outlet,
Kohl's,ADIDAS,1128299,9/13/2020,West,New Mexico,Albuquerque,Stan Smith 360 Shoes,43,109,4687,1922,41%,Outlet,
Kohl's,ADIDAS,1128299,9/14/2020,West,New Mexico,Albuquerque,ZX 1K Boost Shoes,43,109,4687,2859,61%,Outlet,
Sports Direct,ADIDAS,1128299,9/15/2020,Southeast,Georgia,Atlanta,Edge Lux 4 Shoes,46,109,5014,1254,25%,Outlet,
Walmart,ADIDAS,1185732,9/16/2020,South,Mississippi,Jackson,Postmove Shoes,20,109,2180,916,42%,Outlet,
Amazon,ADIDAS,1185732,9/17/2020,Northeast,Vermont,Burlington,Continental 80 Vegan Shoes,33,109,3597,1007,28%,Outlet,
Amazon,ADIDAS,1185732,9/18/2020,Northeast,New Hampshire,Manchester,Postmove Shoes,43,109,4687,1875,40%,Outlet,
West Gear,ADIDAS,1128299,9/19/2020,West,Nevada,Las Vegas,NMD_R1 Refined Shoes,78,108,8424,2948,35%,Online,
West Gear,ADIDAS,1128299,9/20/2020,West,Nevada,Las Vegas,Postmove Shoes,56,108,6048,3508,58%,Online,
West Gear,ADIDAS,1128299,9/21/2020,West,Washington,Seattle,adidas Superstar x LEGOÂ® Shoes,60,108,6480,1555,24%,Online,
West Gear,ADIDAS,1128299,9/22/2020,West,Washington,Seattle,Postmove Shoes,76,108,8208,3694,45%,Online,
Kohl's,ADIDAS,1189833,9/23/2020,Midwest,Montana,Billings,Terrex Two Ultra Parley AP Shoes,59,108,6372,1848,29%,Online,
Kohl's,ADIDAS,1189833,9/24/2020,Midwest,Montana,Billings,Postmove Shoes,58,108,6264,2631,42%,Online,
Sports Direct,ADIDAS,1197831,9/25/2020,South,Tennessee,Knoxville,Retropy P9 Shoes,33,108,3564,1283,36%,Online,
Sports Direct,ADIDAS,1128299,9/26/2020,Southeast,Florida,Orlando,Superstar OT Tech Shoes,47,108,5076,2944,58%,Online,
Foot Locker,ADIDAS,1185732,9/27/2020,Midwest,Missouri,St. Louis,Racer TR21 Wide Shoes,48,108,5184,1192,23%,Online,
West Gear,ADIDAS,1185732,9/28/2020,West,Utah,Salt Lake City,Racer TR21 Wide Shoes,19,108,2052,903,44%,Online,
West Gear,ADIDAS,1185732,9/29/2020,West,Utah,Salt Lake City,adidas Sportswear Future Icons 3-Stripes Hooded Track Jacket,34,108,3672,918,25%,Online,
West Gear,ADIDAS,1185732,9/30/2020,West,Utah,Salt Lake City,adidas Sportswear Future Icons 3-Stripes Hooded Track Jacket,20,108,2160,864,40%,Online,
West Gear,ADIDAS,1128299,10/1/2020,West,Utah,Salt Lake City,Camo Everyday Shorts,39,108,4212,1685,40%,Online,
West Gear,ADIDAS,1128299,10/2/2020,West,Oregon,Portland,Performance Boxer Briefs 3 Pairs,86,108,9288,5294,57%,Online,
West Gear,ADIDAS,1128299,10/3/2020,South,Louisiana,New Orleans,Parley Sweat Pants (Gender Neutral),50,108,5400,1134,21%,Online,
Sports Direct,ADIDAS,1128299,10/4/2020,Southeast,Georgia,Atlanta,EQ21 Run Shoes,52,108,5616,2246,40%,Online,
Foot Locker,ADIDAS,1185732,10/5/2020,South,Mississippi,Jackson,EQ21 Run Shoes,39,108,4212,1137,27%,Online,
Walmart,ADIDAS,1185732,10/6/2020,South,Mississippi,Jackson,Marathon 3-Stripes Jacket,29,108,3132,1253,40%,Online,
West Gear,ADIDAS,1185732,10/7/2020,Midwest,Indiana,Indianapolis,Solid Swim Shorts,49,108,5292,2117,40%,Online,
Sports Direct,ADIDAS,1185732,10/8/2020,Northeast,New Jersey,Newark,adidas Z.N.E. Sportswear Pants,59,108,6372,3823,60%,Online,
Sports Direct,ADIDAS,1185732,10/9/2020,Northeast,Connecticut,Hartford,X9000L3 Shoes,48,108,5184,1192,23%,Online,
Foot Locker,ADIDAS,1185732,10/10/2020,Northeast,New Hampshire,Manchester,Small Crossbody Bag,62,108,6696,3415,51%,Online,
Sports Direct,ADIDAS,1197831,5/24/2020,South,Texas,Dallas,X Ghosted.3 Firm Ground Cleats,26,107,2782,1002,36%,Outlet,
West Gear,ADIDAS,1128299,5/24/2020,West,Nevada,Las Vegas,AEROREADY  Designed to Move Sport Camo-Print Shorts,48,107,5136,2671,52%,Outlet,
Walmart,ADIDAS,1128299,5/24/2020,Southeast,Florida,Orlando,Foil Mandala Graphic Tee,39,107,4173,2045,49%,Outlet,
Foot Locker,ADIDAS,1128299,5/24/2020,Southeast,Virginia,Richmond,X Ghosted.3 Firm Ground Cleats,30,107,3210,2119,66%,Outlet,
West Gear,ADIDAS,1185732,5/24/2020,West,Utah,Salt Lake City,Foil Mandala Graphic Tee,10,107,1070,332,31%,Outlet,
West Gear,ADIDAS,1185732,5/24/2020,West,Utah,Salt Lake City,Disney Mickey Mouse Summer Set,14,107,1498,794,53%,Outlet,
West Gear,ADIDAS,1128299,10/17/2020,South,Louisiana,New Orleans,Marimekko Hoodie,36,107,3852,1541,40%,Outlet,
Foot Locker,ADIDAS,1128299,10/18/2020,West,Arizona,Phoenix,4D Fusio Shoes,37,107,3959,1980,50%,Outlet,
Foot Locker,ADIDAS,1128299,10/19/2020,West,Arizona,Phoenix,4D Fusio Shoes,47,107,5029,2464,49%,Outlet,
Walmart,ADIDAS,1197831,10/20/2020,South,Arkansas,Little Rock,Predator Freak.3 Indoor Shoes,14,107,1498,1019,68%,Outlet,
West Gear,ADIDAS,1197831,1/12/2021,South,Oklahoma,Oklahoma City,4D Fusio Shoes,27,107,2889,867,30%,Outlet,
West Gear,ADIDAS,1197831,1/12/2021,South,Oklahoma,Oklahoma City,4D Fusio Shoes,36,107,3852,1926,50%,Outlet,
Sports Direct,ADIDAS,1185732,1/12/2021,Northeast,Connecticut,Hartford,4D Fusio Shoes,36,107,3852,1348,35%,Outlet,
Amazon,ADIDAS,1185732,1/12/2021,Northeast,Massachusetts,Boston,FARM Rio Feelbrilliant AEROREADY High-Rise Tights,36,107,3852,2119,55%,Outlet,
Amazon,ADIDAS,1185732,1/12/2021,Northeast,Vermont,Burlington,AEROREADY  Designed to Move Sport Camo-Print Shorts,35,107,3745,1685,45%,Outlet,
Amazon,ADIDAS,1185732,1/12/2021,Northeast,New Hampshire,Manchester,Solid Swim Shorts,39,107,4173,2838,68%,Outlet,
Kohl's,ADIDAS,1189833,2/10/2021,West,California,Los Angeles,The Trackstand Cycling Pants,46,106,4876,1707,35%,Online,
West Gear,ADIDAS,1128299,2/10/2021,West,Nevada,Las Vegas,4D Fusio Shoes,55,106,5830,2915,50%,Online,
West Gear,ADIDAS,1128299,2/10/2021,West,Colorado,Denver,4D Fusio Shoes,65,106,6890,2480,36%,Online,
Foot Locker,ADIDAS,1185732,1/9/2021,Midwest,Minnesota,Minneapolis,adidas Sportswear Wrapped 3-Stripes Full-Zip Hoodie,44,106,4664,2565,55%,Online,
Kohl's,ADIDAS,1189833,1/9/2021,Midwest,Montana,Billings,Adicolor Classics Crop Hoodie,41,106,4346,2130,49%,Online,
Kohl's,ADIDAS,1189833,1/9/2021,Midwest,Montana,Billings,Club Tennis 3-Stripes Tee,38,106,4028,2658,66%,Online,
Kohl's,ADIDAS,1189833,1/9/2021,Midwest,Montana,Billings,Five Ten Heritage Logo Tee,41,106,4346,1434,33%,Online,
Kohl's,ADIDAS,1189833,1/9/2021,Midwest,Montana,Billings,adidas Sportswear Woven 3-Stripes Track Top,52,106,5512,2866,52%,Online,
Sports Direct,ADIDAS,1197831,1/9/2021,South,Tennessee,Knoxville,Five Ten Felsblock Shorts,41,106,4346,1521,35%,Online,
Amazon,ADIDAS,1185732,2/7/2021,West,Alaska,Anchorage,Adicolor Classics Trefoil Tee (Plus Size),56,106,5936,3087,52%,Online,
West Gear,ADIDAS,1185732,2/7/2021,Northeast,New York,Albany,adidas Z.N.E. Sportswear Hoodie,39,106,4134,1984,48%,Online,
Kohl's,ADIDAS,1185732,2/7/2021,West,Wyoming,Cheyenne,Terrex Liteflex Hiking Pants,47,106,4982,3238,65%,Online,
Foot Locker,ADIDAS,1128299,1/19/2021,Southeast,Virginia,Richmond,adidas FortaRun x LEGOÂ® DOTSâ„¢ Shoes,64,106,6784,2103,31%,Online,
Sports Direct,ADIDAS,1197831,1/19/2021,West,Idaho,Boise,FC Bayern Tee,54,106,5724,3148,55%,Online,
Foot Locker,ADIDAS,1128299,1/19/2021,West,Idaho,Boise,Terrex Multi Primegreen Full-Zip Fleece Jacket,37,106,3922,1373,35%,Online,
Foot Locker,ADIDAS,1128299,1/19/2021,West,Idaho,Boise,adidas Sportswear Comfy and Chill Tee,37,106,3922,2157,55%,Online,
Kohl's,ADIDAS,1128299,1/19/2021,West,Arizona,Phoenix,Utilitas Hooded Parka,44,106,4664,2239,48%,Online,
Kohl's,ADIDAS,1128299,1/19/2021,West,New Mexico,Albuquerque,Aeromotion Tee,54,106,5724,3950,69%,Online,
Amazon,ADIDAS,1185732,2/17/2021,Midwest,Ohio,Columbus,Adizero 1/2 Zip Long Sleeve Tee,19,106,2014,624,31%,Online,
Amazon,ADIDAS,1185732,2/17/2021,Midwest,Ohio,Columbus,Utilitas Hooded Parka,27,106,2862,1460,51%,Online,
Foot Locker,ADIDAS,1185732,2/17/2021,Southeast,Kentucky,Louisville,adidas Z.N.E. Sportswear Hoodie,27,106,2862,1088,38%,Online,
Walmart,ADIDAS,1197831,1/9/2021,South,Arkansas,Little Rock,Hoops 2.0 Mid Shoes,32,106,3392,1764,52%,Online,
Walmart,ADIDAS,1197831,1/9/2021,South,Arkansas,Little Rock,adidas Sportswear Future Icons 3-Stripes Sweatshirt,19,106,2014,967,48%,Online,
Foot Locker,ADIDAS,1185732,1/9/2021,Northeast,West Virginia,Charleston,Adizero RC 3 Shoes,33,106,3498,2309,66%,Online,
Amazon,ADIDAS,1185732,1/9/2021,Northeast,Vermont,Burlington,Real Madrid Tee,53,106,5618,1685,30%,Online,
Amazon,ADIDAS,1185732,1/9/2021,Northeast,Vermont,Burlington,adidas Sportswear Comfy and Chill Tee,68,106,7208,3748,52%,Online,
Amazon,ADIDAS,1185732,1/9/2021,Northeast,New Hampshire,Manchester,Adizero RC 3 Tokyo Shoes,64,106,6784,2714,40%,Online,
Foot Locker,ADIDAS,1185732,2/7/2021,Midwest,Illinois,Chicago,adidas Sportswear Comfy and Chill Tee,51,105,5355,2731,51%,Online,
West Gear,ADIDAS,1128299,2/7/2021,West,Nevada,Las Vegas,Ergo Tennis Shorts,54,105,5670,2722,48%,Online,
West Gear,ADIDAS,1128299,2/7/2021,West,Colorado,Denver,adidas Sportswear Future Icons 3-Stripes Sweatshirt,60,105,6300,4221,67%,Online,
West Gear,ADIDAS,1128299,2/22/2021,West,Colorado,Denver,Superlite Hat,65,105,6825,2389,35%,Online,
West Gear,ADIDAS,1128299,2/22/2021,West,Colorado,Denver,adidas Sportswear Comfy & Chill Pants,68,105,7140,3856,54%,Online,
West Gear,ADIDAS,1128299,2/22/2021,West,Washington,Seattle,adidas Sportswear Comfy & Chill Pants,62,105,6510,2409,37%,Online,
West Gear,ADIDAS,1128299,3/21/2021,West,Washington,Seattle,4CMTE Four Panel RAIN.RDY Running Training Cycling Cap,82,105,8610,4305,50%,Online,
Kohl's,ADIDAS,1189833,3/21/2021,Midwest,Montana,Billings,Linear Superlite Super-No-Show Socks 6 Pairs,44,105,4620,2310,50%,Online,
Foot Locker,ADIDAS,1185732,3/21/2021,Midwest,Nebraska,Omaha,Stretch Cotton Trunk Briefs 3 Pairs,38,105,3990,2673,67%,Online,
Sports Direct,ADIDAS,1197831,3/21/2021,South,Alabama,Birmingham,Long Sleeve Tee and Printed Tights Set,33,105,3465,1074,31%,Online,
Walmart,ADIDAS,1128299,3/21/2021,West,Hawaii,Honolulu,Santiago Lunch Bag,64,105,6720,3360,50%,Online,
Walmart,ADIDAS,1128299,3/21/2021,West,Hawaii,Honolulu,Relaxed Camo Trefoil Hat,56,105,5880,2117,36%,Online,
Foot Locker,ADIDAS,1128299,4/22/2021,West,Wyoming,Cheyenne,Camo Pants,36,105,3780,1928,51%,Online,
Foot Locker,ADIDAS,1128299,4/22/2021,West,Wyoming,Cheyenne,Santiago Lunch Bag,36,105,3780,1701,45%,Online,
Foot Locker,ADIDAS,1185732,4/22/2021,Midwest,Missouri,St. Louis,Santiago Lunch Bag,28,105,2940,1999,68%,Online,
Foot Locker,ADIDAS,1185732,4/22/2021,Midwest,Missouri,St. Louis,Originals Sunglasses OR0013,45,105,4725,1654,35%,Online,
West Gear,ADIDAS,1185732,4/22/2021,West,Utah,Salt Lake City,Santiago Lunch Bag,29,105,3045,1523,50%,Online,
West Gear,ADIDAS,1128299,4/22/2021,West,Utah,Salt Lake City,Santiago Lunch Bag,39,105,4095,1556,38%,Online,
West Gear,ADIDAS,1128299,5/23/2021,West,Utah,Salt Lake City,Retrorun Shoes,39,105,4095,2048,50%,Online,
West Gear,ADIDAS,1128299,5/23/2021,West,Oregon,Portland,Classic Superlite No-Show Socks 6 Pairs,50,105,5250,2363,45%,Online,
West Gear,ADIDAS,1128299,5/23/2021,West,Oregon,Portland,Runner Tee,58,105,6090,4202,69%,Online,
West Gear,ADIDAS,1128299,5/23/2021,South,Louisiana,New Orleans,Runner Tee,44,105,4620,1571,34%,Online,
West Gear,ADIDAS,1128299,5/23/2021,South,Louisiana,New Orleans,Badge of Sport Tee,52,105,5460,2785,51%,Online,
West Gear,ADIDAS,1128299,5/23/2021,South,Louisiana,New Orleans,AEROREADY 3-Stripes 8-Inch Shorts,55,105,5775,2195,38%,Online,
West Gear,ADIDAS,1128299,6/22/2021,South,Louisiana,New Orleans,Badge of Sport Tee,36,105,3780,2041,54%,Online,
Foot Locker,ADIDAS,1197831,6/22/2021,West,Idaho,Boise,Cushioned Angle Stripe Low-Cut Socks 6 Pairs,33,105,3465,1733,50%,Online,
Foot Locker,ADIDAS,1128299,6/22/2021,West,Idaho,Boise,Runner Tee,38,105,3990,2594,65%,Online,
Foot Locker,ADIDAS,1128299,6/22/2021,West,Arizona,Phoenix,Retrorun Shoes,54,105,5670,1985,35%,Online,
Foot Locker,ADIDAS,1128299,6/22/2021,West,Arizona,Phoenix,Relaxed Marble Wash Hat,44,105,4620,2402,52%,Online,
Kohl's,ADIDAS,1128299,6/22/2021,West,New Mexico,Albuquerque,Originals Sunglasses OR0032,48,105,5040,2318,46%,Online,
Kohl's,ADIDAS,1128299,7/21/2021,West,New Mexico,Albuquerque,Retrorun Shoes,68,105,7140,3356,47%,Online,
Sports Direct,ADIDAS,1128299,7/21/2021,Southeast,Georgia,Atlanta,Runner Tee,63,105,6615,3440,52%,Online,
Sports Direct,ADIDAS,1128299,7/21/2021,Southeast,Georgia,Atlanta,Cushioned X Mid-Crew Socks 3 Pairs,42,105,4410,2161,49%,Online,
Walmart,ADIDAS,1185732,7/21/2021,South,Mississippi,Jackson,Runner Tee,23,105,2415,1449,60%,Online,
Sports Direct,ADIDAS,1197831,7/21/2021,South,Mississippi,Jackson,Indicator Jacket,24,105,2520,1285,51%,Online,
Kohl's,ADIDAS,1197831,7/21/2021,South,Oklahoma,Oklahoma City,Relaxed Marble Wash Hat,72,105,7560,3553,47%,Online,
West Gear,ADIDAS,1185732,8/22/2021,Midwest,Indiana,Indianapolis,VFA Backpack,49,105,5145,2367,46%,Online,
West Gear,ADIDAS,1185732,8/22/2021,Northeast,West Virginia,Charleston,X Ghosted.3 Laceless Firm Ground Cleats,24,105,2520,1336,53%,Online,
Foot Locker,ADIDAS,1185732,8/22/2021,Northeast,Delaware,Wilmington,Essentials Logo Tee (Plus Size),42,105,4410,2073,47%,Online,
Kohl's,ADIDAS,1185732,8/22/2021,Northeast,New Jersey,Newark,Originals Sunglasses OR0032,44,105,4620,3003,65%,Online,
Kohl's,ADIDAS,1185732,8/22/2021,Northeast,New Jersey,Newark,adidas x Zoe Saldana Long Sleeve Tee,52,105,5460,3003,55%,Online,
Sports Direct,ADIDAS,1185732,8/22/2021,Northeast,New Jersey,Newark,Zebra Logo Graphic Tee,49,105,5145,2470,48%,Online,
Sports Direct,ADIDAS,1185732,9/23/2021,Northeast,Connecticut,Hartford,HER Studio London Hoodie,55,105,5775,2599,45%,Online,
Sports Direct,ADIDAS,1185732,9/23/2021,Northeast,Massachusetts,Boston,Aggies Long Sleeve Quarter-Zip Knit Sweatshirt,49,105,5145,2727,53%,Online,
Amazon,ADIDAS,1185732,9/23/2021,Northeast,Massachusetts,Boston,Adicolor Classics Satin Dress,53,105,5565,2616,47%,Online,
Amazon,ADIDAS,1185732,9/23/2021,Northeast,Vermont,Burlington,Adicolor Oversized Sweatshirt,48,105,5040,3175,63%,Online,
Amazon,ADIDAS,1185732,9/23/2021,Northeast,New Hampshire,Manchester,R.Y.V. Sling Pack,52,105,5460,2839,52%,Online,
Foot Locker,ADIDAS,1185732,9/23/2021,Northeast,New Hampshire,Manchester,adidas Sportswear Future Icons Animal-Print Sweatshirt,74,105,7770,3574,46%,Online,
Foot Locker,ADIDAS,1185732,10/22/2021,Northeast,Pennsylvania,Philadelphia,Zebra Logo Graphic Tee,52,105,5460,2621,48%,Outlet,
West Gear,ADIDAS,1128299,10/22/2021,West,Nevada,Las Vegas,Marimekko Trefoil Infill Cropped Tee,47,105,4935,2468,50%,Outlet,
West Gear,ADIDAS,1128299,10/22/2021,West,Nevada,Las Vegas,Adicolor Classics 3-Stripes Windbreaker,47,105,4935,2319,47%,Outlet,
Sports Direct,ADIDAS,1197831,10/22/2021,South,Tennessee,Knoxville,AEROREADY  Designed to Move Sport Camo Logo Tee,20,105,2100,1260,60%,Outlet,
Sports Direct,ADIDAS,1197831,10/22/2021,South,Alabama,Birmingham,Zebra Logo Graphic Tee,44,105,4620,2495,54%,Outlet,
Sports Direct,ADIDAS,1197831,10/22/2021,South,Alabama,Birmingham,Camo-Print SST Top,22,105,2310,1040,45%,Outlet,
Walmart,ADIDAS,1128299,11/22/2021,Southeast,Florida,Orlando,Camo-Print Hoodie,51,105,5355,2463,46%,Outlet,
Foot Locker,ADIDAS,1128299,11/22/2021,Southeast,Virginia,Richmond,Short Sleeve Graphic Tee,40,105,4200,2226,53%,Outlet,
Foot Locker,ADIDAS,1128299,11/22/2021,Southeast,Virginia,Richmond,Tiro Cargo Pants,42,105,4410,2029,46%,Outlet,
West Gear,ADIDAS,1185732,11/22/2021,West,Utah,Salt Lake City,adidas Adventure Ball Cap,22,105,2310,1386,60%,Outlet,
West Gear,ADIDAS,1185732,11/22/2021,West,Utah,Salt Lake City,R.Y.V. Toploader Backpack,7,105,735,404,55%,Outlet,
West Gear,ADIDAS,1128299,11/22/2021,West,Utah,Salt Lake City,Flower Camo Box Graphic Tee,31,105,3255,1465,45%,Outlet,
Foot Locker,ADIDAS,1128299,12/21/2021,West,Arizona,Phoenix,adidas Hockey Hoodie,38,105,3990,1796,45%,Outlet,
Walmart,ADIDAS,1185732,12/21/2021,South,Mississippi,Jackson,Fast Primeblue Tee,25,105,2625,1391,53%,Outlet,
West Gear,ADIDAS,1197831,12/21/2021,South,Arkansas,Little Rock,Pacer 3-Stripes Woven Shorts,56,105,5880,2940,50%,Outlet,
West Gear,ADIDAS,1197831,12/21/2021,South,Oklahoma,Oklahoma City,Fast Primeblue Tee,41,105,4305,2712,63%,Outlet,
West Gear,ADIDAS,1197831,12/21/2021,South,Oklahoma,Oklahoma City,Fast Primeblue Tee,40,105,4200,2184,52%,Outlet,
Kohl's,ADIDAS,1197831,12/21/2021,South,Oklahoma,Oklahoma City,Short Piping High-Waist Tights,16,105,1680,756,45%,Outlet,
Foot Locker,ADIDAS,1185732,1/20/2021,Northeast,Connecticut,Hartford,Adicolor Essentials Trefoil Swim Shorts,37,105,3885,1748,45%,Outlet,
Foot Locker,ADIDAS,1185732,1/20/2021,Northeast,Rhode Island,Providence,Marble Logo Graphic Print Hoodie,35,105,3675,1985,54%,Outlet,
Sports Direct,ADIDAS,1185732,1/20/2021,Northeast,Rhode Island,Providence,Supernova+ Shoes,40,105,4200,1932,46%,Outlet,
Sports Direct,ADIDAS,1185732,1/20/2021,Northeast,Massachusetts,Boston,Copa Sense.3 Laceless Firm Ground Cleats,36,105,3780,2306,61%,Outlet,
Amazon,ADIDAS,1185732,1/20/2021,Northeast,Massachusetts,Boston,Jacquard Trefoil Crew Socks 2 Pairs,43,105,4515,2303,51%,Outlet,
Amazon,ADIDAS,1185732,1/20/2021,Northeast,Vermont,Burlington,EQ21 Run Shoes,44,105,4620,2125,46%,Outlet,
Amazon,ADIDAS,1185732,2/18/2021,Northeast,New Hampshire,Manchester,EQ21 Run Shoes,32,105,3360,1646,49%,Outlet,
Foot Locker,ADIDAS,1185732,2/18/2021,Northeast,New Hampshire,Manchester,X Ghosted.3 Firm Ground Cleats,41,105,4305,2153,50%,Outlet,
Foot Locker,ADIDAS,1185732,2/18/2021,Northeast,Pennsylvania,Philadelphia,Supernova+ Shoes,55,104,5720,2860,50%,Online,
West Gear,ADIDAS,1128299,2/22/2021,West,Nevada,Las Vegas,QT Racer Sport Shoes,52,104,5408,3515,65%,Online,
West Gear,ADIDAS,1128299,2/22/2021,West,Nevada,Las Vegas,Supernova+ Shoes,60,104,6240,3120,50%,Online,
Sports Direct,ADIDAS,1197831,2/22/2021,South,Alabama,Birmingham,Choigo Shoes,34,104,3536,1733,49%,Online,
Amazon,ADIDAS,1185732,3/21/2021,West,Alaska,Anchorage,Daily 3.0 Shoes,67,104,6968,3275,47%,Online,
Walmart,ADIDAS,1128299,3/21/2021,West,Hawaii,Honolulu,Daily 3.0 Shoes,60,104,6240,3307,53%,Online,
Walmart,ADIDAS,1128299,3/21/2021,Southeast,Florida,Orlando,Choigo Shoes,65,104,6760,3110,46%,Online,
Foot Locker,ADIDAS,1128299,3/21/2021,Southeast,Virginia,Richmond,Beach Shorts,81,104,8424,5391,64%,Online,
West Gear,ADIDAS,1185732,3/21/2021,West,Utah,Salt Lake City,Five Ten Kestrel Lace Mountain Bike Shoes,32,104,3328,1830,55%,Online,
Sports Direct,ADIDAS,1197831,3/21/2021,West,Idaho,Boise,Mexico Away Jersey,50,104,5200,2548,49%,Online,
Kohl's,ADIDAS,1128299,4/22/2021,West,New Mexico,Albuquerque,Five Ten Hiangle Pro Competition Climbing Shoes,41,104,4264,1919,45%,Online,
Sports Direct,ADIDAS,1128299,4/22/2021,West,New Mexico,Albuquerque,Mesh Broken-Stripe Polo Shirt,37,104,3848,1962,51%,Online,
Walmart,ADIDAS,1197831,4/22/2021,South,Arkansas,Little Rock,EQT Spikeless Golf Shoes,38,104,3952,1857,47%,Online,
Walmart,ADIDAS,1197831,4/22/2021,South,Arkansas,Little Rock,Adicross Hybrid Shorts,39,104,4056,2434,60%,Online,
West Gear,ADIDAS,1197831,4/22/2021,South,Arkansas,Little Rock,Tiro 21 Windbreaker,29,104,3016,1629,54%,Online,
Foot Locker,ADIDAS,1185732,4/22/2021,Midwest,South Dakota,Sioux Falls,Classic 3-Stripes Swimsuit,54,104,5616,2640,47%,Online,
Sports Direct,ADIDAS,1185732,5/23/2021,Midwest,South Dakota,Sioux Falls,Tiro 21 Windbreaker,53,104,5512,2591,47%,Online,
West Gear,ADIDAS,1185732,5/23/2021,Midwest,Wisconsin,Milwaukee,Formotion Sculpt Biker Short Tights,41,104,4264,2260,53%,Online,
Foot Locker,ADIDAS,1185732,5/23/2021,Northeast,Delaware,Wilmington,Athletic Cushioned Crew Socks 6 Pairs,54,104,5616,2808,50%,Online,
Amazon,ADIDAS,1185732,5/23/2021,Northeast,Vermont,Burlington,Inter Miami CF Home Authentic Jersey,61,104,6344,3806,60%,Online,
Foot Locker,ADIDAS,1185732,5/23/2021,Northeast,New Hampshire,Manchester,Cushioned Mid-Crew Socks 2 Pairs,63,104,6552,3604,55%,Online,
Foot Locker,ADIDAS,1185732,5/23/2021,South,Mississippi,Jackson,Tour Camo-Print Hat,25,104,2600,1248,48%,Outlet,
